西洋参,,,,凉,,,微苦,甘,,,肺,,心,,,,,,,,,肾,,"['补气','养阴','清热','生津']"
豨莶草,寒,,,,,,苦,,辛,,,,,,,,,,,,肝,肾,,"['祛风湿','利关节','解毒']"
细辛,,,温,,,,,,辛,,肺,,心,,,,,,,,,肾,,"['祛风','散寒','通窍','止痛','温肺','祛痰']"
香附,,,,,平,,微苦,微甘,辛,,,,,,三焦,,,,,,肝,,,"['行气','解郁','调经','止痛']"
雄黄,,,温,,,,,,辛,,,,,大肠,,,,,,,肝,,,"['解毒','杀虫','燥湿','祛痰','截疟']"
徐长卿,,,温,,,,,,辛,,,,,,,,胃,,,,肝,,,"['祛风','化湿','行气','通络']"
玄参,微寒,,,,,,苦,甘,,咸,肺,,,,,,胃,,,,,肾,,"['凉血','滋阴','泻火','解毒']"
鸦胆子,寒,,,,,,苦,,,,,,,大肠,,,,,,,肝,,有毒,"['清热','解毒','截疟','止痢','腐蚀','赘疣']"
薏苡仁,,,,凉,,,,甘,,,肺,,,,,,胃,,,脾,,,,"['健脾','利湿','除痹','止泻','清热','排脓']"
茵陈,微寒,,,,,,苦,,辛,,,,,,,,胃,,膀胱,脾,,,,"['清湿热','退黄疸']"
鱼腥草,微寒,,,,,,,,辛,,肺,,,,,,,,,,,,,"['清热','解毒','消痈','排脓','利尿','通淋']"
玉竹,微寒,,,,,,,甘,,,肺,,,,,,胃,,,,,,,"['养阴','润燥','生津','止渴']"
郁金,寒,,,,,,苦,,辛,,肺,,心,,,,,,,,肝,,,"['活血','止痛','行气','化疥','清心','解郁','利胆','退黄']"
泽兰,,,微温,,,,苦,,,,,,,,,,,,,脾,肝,,,"['行血','利尿','散郁','舒肝']"
泽泻,寒,,,,,,,甘,,,,,,,,,,,膀胱,,,肾,,"['利小便','清湿热']"
浙贝母,寒,,,,,,苦,,,,肺,,心,,,,,,,,,,,"['清热','散结','化痰','止咳']"
知母,寒,,,,,,苦,甘,,,肺,,,,,,胃,,,,,肾,,"['清热','泻火','生津','润燥']"
栀子,寒,,,,,,苦,,,,肺,,心,,三焦,,,,,,,,,"['泻火','除烦','清热','利尿','凉血','解毒','消肿','止痛']"
枳壳,,,温,,,酸,苦,,辛,,,,,,,,胃,,,脾,,,,"['理气','宽中','行滞','消胀']"
枳实,微寒,,,,,酸,苦,,辛,,,,,,,,胃,,,脾,,,,"['破气','消积','化痰','散痞']"
炙甘草,,,温,,,,,甘,,,肺,,心,,,,胃,,,脾,,,,"['补脾','和胃','益气','复脉']"
炙黄芪,,,温,,,,,甘,,,肺,,,,,,,,,脾,,,,"['益气','补中']"
猪苓,,,,,平,,,甘,,,,,,,,,,,膀胱,,,肾,,"['利尿','渗湿']"
竹茹,微寒,,,,,,,甘,,,,,,,,,胃,胆,,脾,,,,"['清热','化痰','除烦','止呕']"
紫草,寒,,,,,,,甘,,咸,,,心,,,,,,,,肝,,,"['凉血','活血','解毒','透疹']"
紫苏叶,,,温,,,,,,辛,,肺,,,,,,,,,脾,,,,"['解表','散寒','行气','和胃']"
紫菀,,,微温,,,,苦,甘,辛,,肺,,,,,,,,,,,,,"['润肺','化痰','止咳']"
人工牛黄,,,,凉,,,,甘,,,,,心,,,,,,,,肝,,,"['清心','豁痰','开窍','凉肝','息风','解毒']"
地黄,寒,,,,,,,甘,,,,,心,,,,,,,,肝,肾,,"['清热','凉血','养阴','生津']"
法半夏,,,温,,,,,,辛,,肺,,,,,,胃,,,脾,,,小毒,燥湿化痰
姜半夏,,,温,,,,,,辛,,肺,,,,,,胃,,,脾,,,有毒,燥湿化痰，降逆止呕
清半夏,,,温,,,,,,辛,,,,,,,,胃,,,脾,,,有毒,燥湿化痰，降逆止呕，消痞散结
